dista [mm],"L(Current1,Current1) [uH]","L(Current3,Current1) [uH]","L(Current3,Current3) [uH]","CplCoef(Current1,Current3) []",Data_Type
163.5763576,108.0416778,11.01932957,106.9092033,0.102509542,
163.5963596,108.042287,11.0171167,106.9114526,0.102487729,
163.6163616,108.0428986,11.01490535,106.9137075,0.102465928,
163.6363636,108.0435126,11.01269551,106.9159678,0.102444139,
163.6563656,108.0441291,11.01048718,106.9182334,0.102422363,
163.6763676,108.0447481,11.00828033,106.9205042,0.102400599,
163.6963696,108.0453694,11.00607494,106.9227803,0.102378847,
163.7163716,108.0459931,11.00387102,106.9250614,0.102357107,
163.7363736,108.0466193,11.00166854,106.9273475,0.102335379,
163.7563756,108.0472478,10.99946748,106.9296386,0.102313662,
163.7763776,108.0478787,10.99726784,106.9319346,0.102291957,
163.7963796,108.0485119,10.99506959,106.9342354,0.102270264,
163.8163816,108.0491475,10.99287273,106.9365408,0.102248582,
163.8363836,108.0497854,10.99067724,106.9388509,0.102226912,
163.8563856,108.0504257,10.9884831,106.9411656,0.102205252,
163.8763876,108.0510683,10.98629031,106.9434847,0.102183604,
163.8963896,108.0517132,10.98409884,106.9458082,0.102161966,
163.9163916,108.0523603,10.98190869,106.948136,0.10214034,
163.9363936,108.0530098,10.97971983,106.9504681,0.102118724,
163.9563956,108.0536616,10.97753226,106.9528043,0.102097119,
163.9763976,108.0543156,10.97534596,106.9551446,0.102075524,
163.9963996,108.0549718,10.97316091,106.9574889,0.10205394,
164.0164016,108.0556304,10.9709771,106.9598372,0.102032366,
164.0364036,108.0562911,10.96879452,106.9621893,0.102010802,
164.0564056,108.0569541,10.96661315,106.9645451,0.101989249,
164.0764076,108.0576193,10.96443298,106.9669047,0.101967705,
164.0964096,108.0582867,10.962254,106.9692679,0.101946171,
164.1164116,108.0589562,10.96007618,106.9716346,0.101924647,
164.1364136,108.059628,10.95789951,106.9740047,0.101903133,
164.1564156,108.0603019,10.95572399,106.9763783,0.101881628,
164.1764176,108.060978,10.95354959,106.9787551,0.101860132,
164.1964196,108.0616563,10.95137631,106.9811351,0.101838646,
164.2164216,108.0623367,10.94920412,106.9835183,0.101817169,
164.2364236,108.0630192,10.94703302,106.9859046,0.101795701,
164.2564256,108.0637038,10.94486298,106.9882939,0.101774243,
164.2764276,108.0643906,10.942694,106.990686,0.101752792,
164.2964296,108.0650794,10.94052606,106.993081,0.101731351,
164.3164316,108.0657704,10.93835914,106.9954788,0.101709919,
164.3364336,108.0664634,10.93619323,106.9978792,0.101688494,
164.3564356,108.0671585,10.93402833,107.0002822,0.101667079,
164.3764376,108.0678556,10.9318644,107.0026877,0.101645671,
164.3964396,108.0685548,10.92970144,107.0050957,0.101624272,
164.4164416,108.069256,10.92753944,107.007506,0.101602881,
164.4364436,108.0699593,10.92537837,107.0099187,0.101581498,
164.4564456,108.0706645,10.92321824,107.0123335,0.101560123,
164.4764476,108.0713718,10.92105901,107.0147504,0.101538756,
164.4964496,108.0720811,10.91890068,107.0171694,0.101517396,
164.5164516,108.0727923,10.91674323,107.0195904,0.101496044,
164.5364536,108.0735055,10.91458664,107.0220132,0.101474699,
164.5564556,108.0742207,10.91243092,107.0244379,0.101453361,
164.5764576,108.0749379,10.91027603,107.0268643,0.101432031,
164.5964596,108.0756569,10.90812196,107.0292924,0.101410708,
164.6164616,108.0763779,10.90596871,107.031722,0.101389392,
164.6364636,108.0771009,10.90381625,107.0341532,0.101368083,
164.6564656,108.0778257,10.90166457,107.0365857,0.10134678,
164.6764676,108.0785524,10.89951367,107.0390196,0.101325484,
164.6964696,108.0792811,10.89736351,107.0414548,0.101304195,
164.7164716,108.0800116,10.89521409,107.0438912,0.101282912,
164.7364736,108.080744,10.8930654,107.0463287,0.101261636,
164.7564756,108.0814782,10.89091742,107.0487672,0.101240365,
164.7764776,108.0822143,10.88877013,107.0512066,0.101219101,
164.7964796,108.0829522,10.88662352,107.0536469,0.101197843,
164.8164816,108.0836919,10.88447759,107.0560881,0.101176591,
164.8364836,108.0844335,10.8823323,107.0585299,0.101155344,
164.8564856,108.0851769,10.88018765,107.0609724,0.101134103,
164.8764876,108.085922,10.87804363,107.0634154,0.101112868,
164.8964896,108.086669,10.87590021,107.065859,0.101091638,
164.9164916,108.0874177,10.87375739,107.0683029,0.101070414,
164.9364936,108.0881682,10.87161516,107.0707471,0.101049194,
164.9564956,108.0889204,10.86947348,107.0731917,0.10102798,
164.9764976,108.0896744,10.86733236,107.0756363,0.101006771,
164.9964996,108.0904301,10.86519178,107.0780811,0.100985567,
165.0165017,108.0911876,10.86305172,107.0805259,0.100964367,
165.0365037,108.0919467,10.86091218,107.0829706,0.100943173,
165.0565057,108.0927076,10.85877312,107.0854152,0.100921982,
165.0765077,108.0934701,10.85663455,107.0878595,0.100900797,
165.0965097,108.0942343,10.85449644,107.0903036,0.100879615,
165.1165117,108.0950002,10.85235878,107.0927473,0.100858438,
165.1365137,108.0957678,10.85022157,107.0951905,0.100837265,
165.1565157,108.096537,10.84808477,107.0976332,0.100816096,
165.1765177,108.0973078,10.84594838,107.1000753,0.100794931,
165.1965197,108.0980803,10.84381239,107.1025166,0.100773769,
